trip_id,stop_id,stop_sequence,arrival_time,departure_time,drop_off_type,shape_dist_traveled,timepoint,stop_headsign
"134",45243,1,08:20:00,08:20:00,,0.0289,1,"9 Limited"
"134",45679,2,08:20:30,08:20:30,,0.1232,0,"9 Limited"
"134",45327,3,08:21:00,08:21:00,,0.2800,0,"9 Limited"
"134",45246,4,08:21:30,08:21:30,,0.4364,0,"9 Limited"
"134",45247,5,08:22:00,08:22:00,,0.5421,0,"9 Limited"
"134",45296,6,08:22:30,08:22:30,,0.8488,0,"9 Limited"
"134",45196,7,08:23:00,08:23:00,,0.8519,1,"9 Limited"
"134",45633,8,08:26:00,08:26:00,,1.7126,0,"9 Limited"
"134",45632,9,08:26:30,08:26:30,,1.7703,0,"9 Limited"
"134",45634,10,08:27:00,08:27:00,,1.9467,0,"9 Limited"
"134",45638,11,08:27:30,08:27:30,,2.1439,0,"9 Limited"
"134",45275,12,08:28:00,08:28:00,,2.3918,1,"9 Limited"
"134",45182,13,08:29:00,08:29:00,,2.6161,0,"9 Limited"
"134",45180,14,08:30:00,08:30:00,,2.8576,0,"9 Limited"
"134",45273,15,08:32:00,08:32:00,,3.1749,0,"9 Limited"
"134",45269,16,08:33:00,08:33:00,,3.3074,1,"9 Limited"
"134",45270,17,08:35:00,08:35:00,,3.4793,0,"9 Limited"
"134",45274,18,08:37:00,08:37:00,,3.6622,1,"9 Limited"
"134",45637,19,08:38:00,08:38:00,,3.9634,0,"9 Limited"
"134",45314,20,08:42:00,08:42:00,,4.7952,0,"9 Limited"
"134",45440,21,08:44:00,08:44:00,,4.9370,1,"9 Limited"
"134",45441,22,08:45:00,08:45:00,,5.0466,0,"9 Limited"
"134",45604,23,08:49:00,08:49:00,,5.4585,0,"9 Limited"
"134",45243,24,08:50:00,08:50:00,,5.6698,1,"9 Limited"
"135",45243,1,09:00:00,09:00:00,,0.0289,1,"9 Limited"
"135",45679,2,09:00:30,09:00:30,,0.1232,0,"9 Limited"
"135",45327,3,09:01:00,09:01:00,,0.2800,0,"9 Limited"
"135",45246,4,09:01:30,09:01:30,,0.4364,0,"9 Limited"
"135",45247,5,09:02:00,09:02:00,,0.5421,0,"9 Limited"
"135",45296,6,09:02:30,09:02:30,,0.8488,0,"9 Limited"
"135",45196,7,09:03:00,09:03:00,,0.8519,1,"9 Limited"
"135",45633,8,09:06:00,09:06:00,,1.7126,0,"9 Limited"
"135",45632,9,09:06:30,09:06:30,,1.7703,0,"9 Limited"
"135",45634,10,09:07:00,09:07:00,,1.9467,0,"9 Limited"
"135",45638,11,09:07:30,09:07:30,,2.1439,0,"9 Limited"
"135",45275,12,09:08:00,09:08:00,,2.3918,1,"9 Limited"
"135",45182,13,09:09:00,09:09:00,,2.6161,0,"9 Limited"
"135",45180,14,09:10:00,09:10:00,,2.8576,0,"9 Limited"
"135",45273,15,09:12:00,09:12:00,,3.1749,0,"9 Limited"
"135",45269,16,09:13:00,09:13:00,,3.3074,1,"9 Limited"
"135",45270,17,09:15:00,09:15:00,,3.4793,0,"9 Limited"
"135",45274,18,09:17:00,09:17:00,,3.6622,1,"9 Limited"
"135",45637,19,09:18:00,09:18:00,,3.9634,0,"9 Limited"
"135",45314,20,09:22:00,09:22:00,,4.7952,0,"9 Limited"
