route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,block_service_id,block_name
"122927","43","134","9L Loop","Outbound","08:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","135","9L Loop","Outbound","09:00:00-7","0","211",,,"9911","9L M-F"
"122927","43","136","9L Loop","Outbound","09:40:00-7","0","211",,,"9911","9L M-F"
"122927","43","137","9L Loop","Outbound","10:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","138","9L Loop","Outbound","11:00:00-7","0","211",,,"9911","9L M-F"
"122927","43","139","9L Loop","Outbound","11:40:00-7","0","211",,,"9911","9L M-F"
"122927","43","140","9L Loop","Outbound","12:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","141","9L Loop","Outbound","13:00:00-7","0","211",,,"9911","9L M-F"
"122927","43","142","9L Loop","Outbound","13:40:00-7","0","211",,,"9911","9L M-F"
"122927","43","143","9L Loop","Outbound","14:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","144","9L Loop","Outbound","15:00:00-7","0","211",,,"9911","9L M-F"
"122927","43","152","9L Loop","Outbound","15:40:00-7","0","211",,,"9911","9L M-F"
"122927","43","153","9L Loop","Outbound","16:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","154","9L Loop","Outbound","17:00:00-7","0","211",,,"9911","9L M-F"
"122927","43","155","9L Loop","Outbound","17:40:00-7","0","211",,,"9911","9L M-F"
"122927","43","156","9L Loop","Outbound","18:20:00-7","0","211",,,"9911","9L M-F"
"122927","43","157","9L Loop","Outbound","19:00:00-7","0","211",,,"9911","9L M-F"
"4W","28","97bf9c3c-9-3c9aef7b-e","4W Outbound","Outbound","08:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","cf5a2b39-b-3c9aef7b-e","4W Inbound","Inbound","08:35:00-23","1","188",,,"4012","4H Sat"
"4S","28","79e462d7-7-3c9aef7b-e","4S Inbound","Inbound","09:35:00-21","1","188",,,"4012","4H Sat"
"4W","28","b75fd435-6-3c9aef7b-e","4W Outbound","Outbound","10:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","8b8f485f-c-3c9aef7b-e","4W Inbound","Inbound","10:35:00-23","1","188",,,"4012","4H Sat"
"4S","28","a8e998d5-8-3c9aef7b-e","4S Inbound","Inbound","11:35:00-21","1","188",,,"4012","4H Sat"
"4W","28","4f9cbd36-f-3c9aef7b-e","4W Outbound","Outbound","12:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","aba99590-d-3c9aef7b-e","4W Inbound","Inbound","12:35:00-23","1","188",,,"4012","4H Sat"
"4S","28","518f065c-e-3c9aef7b-e","4S Inbound","Inbound","13:35:00-21","1","188",,,"4012","4H Sat"
"4W","28","f17b4338-9-3c9aef7b-e","4W Outbound","Outbound","14:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","61a12910-f-3c9aef7b-e","4W Inbound","Inbound","14:35:00-23","1","188",,,"4012","4H Sat"
"4S","28","c398164a-b-3c9aef7b-e","4S Inbound","Inbound","15:35:00-21","1","188",,,"4012","4H Sat"
"4W","28","4b7bebfc-0-3c9aef7b-e","4W Outbound","Outbound","16:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","cf7dbcde-9-3c9aef7b-e","4W Inbound","Inbound","16:35:00-23","1","188",,,"4012","4H Sat"
"4S","28","3efb5b53-7-3c9aef7b-e","4S Inbound","Inbound","17:35:00-21","1","188",,,"4012","4H Sat"
"4W","28","34bd88e4-f-3c9aef7b-e","4W Outbound","Outbound","18:10:00-24","0","188",,,"4012","4H Sat"
"4W","28","719efbd0-5-3c9aef7b-e","4W Inbound Last Trip","Inbound","18:35:00-1","1","188",,,"4012","4H Sat"
"4S","28","880bbaf0-8-3c9aef7b-e","4S Inbound","Inbound","08:35:00-21","1","190",,,"4022","4J Sat"
"4W","28","332f935e-f-3c9aef7b-e","4W Outbound","Outbound","09:10:00-24","0","190",,,"4022","4J Sat"
"4W","28","5fd93c51-1-3c9aef7b-e","4W Inbound","Inbound","09:35:00-23","1","190",,,"4022","4J Sat"
"4S","28","86cd7055-0-3c9aef7b-e","4S Inbound","Inbound","10:35:00-21","1","190",,,"4022","4J Sat"
